,p,a
1163,DUNI vairumtirdzniecības bāzes vadītājs/-a,1800
1164,PĀRDOŠANAS KONSULTANTS/-E,1350
1165,Software Developer,2400
1166,Junior Legal Counsel,1800
1167,Customer Service Associate (English language),1625
1168,Customer Service Associate (English and French language),1625
1169,Zvanu centra operators/-e (ar vācu valodas zināšanām),1550
1170,Jaunākais/-ā projektu vadītājs/-a Korporatīvo finanšu nodaļā,2000
1171,Executive assistant,2260
1172,Company Representative,2600
1173,Biznesa procesu pārvaldnieks/-ce,2000
1174,Video/Foto satura speciālists/-e,2500
1175,Vecākais/-ā konsultants/-e Grāmatvedības konsultāciju pakalpojumu jomā,2600
1176,Quality Assurance SoQM Compliance,2500
1177,Atbalsta speciālists/-e,1000
1178,Performance and Quality Coordinator,280
1179,Talantu piesaistes projektu vadītājs/-a,1500
1180,Logu pārdošanas menedžeris/-e,1025
1181,Arhitekts/-e,2650
1182,Pārdošanas speciālists/e,2000
1183,Ceļu meistaru/i,1800
1184,VAD departamenta vecākais referents/-e,1824
1185,"Pārdevējs/a (nepilns darba laiks), t/c ""Galerija Centrs""",200
1186,"IT support specialist (On-site, Riga)",2150
1187,Uzraudzības eksperts/-e,2350
1188,Ražošanas Tehnologs/-ģe,1750
1189,VAD departamenta Iesaucamo atlases nodaļas vecākais eksperts/-e,2263
1190,"Pārdevējs/a (nepilns darba laiks), t/c ""Valleta""",160
1191,Arhivārs-vecākais lietvedis Administratīvā departamenta Dokumentu pārvaldības nodaļā,1400
1192,Grāmatvedis/-e,1500
1193,Grāmatvedis,1800
1194,Database Administrator (Oracle Database Services),4100
1195,Ventilācijas sistēmu un cauruļvadu uzstādītāji,4500
1196,Vecākais projektu vadītājs/-a,2600
1197,E-komercijas projektu vadītājs/-a,2000
1198,Mārketinga Direktors/-e,5250
1199,Juridiskā atbalsta nodaļas galvenais jurists,2200
1200,Apdrošināšanas speciālists(-e) Nedzīvības apdrošināšanas biznesa atbalsta nodaļā,1600
1201,Jaunākais(-ā) speciālists(-e) Nedzīvības apdrošināšanas biznesa atbalsta nodaļā,1150
1202,Būvdarbu vadītājs/-a (ELT un ESS būvdarbu vadīšana),2500
1203,Vecākais projekta vadītājs,1800
1204,Restorāna vadītājs,1650
1205,Administrators/-e,1450
1206,Risku direktors/-e,5000
1207,Komunālās tehnikas pārdošanas speciālists/-e,1900
1208,Vecākais/-ā full-stack programmētājs/-a,4250
1209,Klientu attiecību vadītājs/a,2530
1210,Sporta redakcijas sociālo tīklu redaktors,1600
1211,DWH Developer,4660
1212,Production Process Engineer,2250
1213,Pasūtījumu komplektētājs/-a,1320
1214,Autoatslēdznieks/-ce,1495
1215,Finance Assistant,1500
1216,Finanšu kontrolieris/-e analītiķis/-e,2500
1217,Business Development Manager (Latvia),3000
1218,Senior Global Process Accountant,1825
1219,Salesforce izstrādātājs/-a,2800
1220,Lielo klientu vadītājs/ -a,1750
1221,Klientu darījumu vadītājs/-a,2300
1222,Elektroinženieris/-e,1450
1223,Kurjers/-e loģistikas nodaļā,1300
1224,HR Business Partner (m/f/d),2190
1225,Vecākais/-ā kreditēšanas darījumu vadītājs/-a,2700
1226,Maiņas meistars (Team Leader - virsmas apstrādes cehā),1500
1227,Business Analyst,3150
1228,Product Owner,4600
1229,PCBA manufacturing ESD and IPC-610 Coordinator / Trainer,1590
1230,Pārdošanas Pārstāvis Rīgā un Rīgas Reģionā,1350
1231,Gaisa Kuģa Mehāniķis/-e,1845
1232,Pricing Actuary and Business Analyst,2300
1233,Lead Java Developer,5950
1234,Danish Chatbot Communication Developer,1700
1235,Mārketinga projektu vadītājs/a,2150
1236,Apdrošināšanas aģents Latgales reģionā,40
1237,Apdrošināšanas aģents Vidzemes reģionā,40
1238,Pārdošanas projektu vadītājs/-a,1960
1239,Klientu apkalpošanas speciālists ( ārstniecības nodaļā),827
1240,Hidroloģijas būvinženieris/-e,2450
1241,Sales Engineer,2250
1242,"Ecommerce Manager in Baltics (Fashion, Home and Beauty)",2425
1243,Tehniķis,2250
1244,Operacionālā riska analītiķis/-e,3000
1245,PHP Backend Developer / PHP Backend Izstrādātājs/-a,3500
1246,Senior Front End Developer - Vecākais Frontend izstrādātājs/-a,4740
1247,Biroja administrators/-e,1000
1248,Inženieris / Projektētājs/-a,2100
1249,Tāmētājs / Datu analītiķis/-e,1600
1250,Informācijas tehnoloģiju nodaļas vadītājs,3250
1251,Interjera dizainers,2300
1252,Maģistra studiju programmu direktors/-e,4000
1253,Koka karkasu ēku konstrukciju projektēšanas galvenais inženieris,3000
1254,Latvijas Radio 5- Pieci.lv galvenā satura REDAKTORS/-E,1750
1255,Klientu atbalsta dienesta speciālists/-e,1150
1256,Projektu vadītājs / tāmētājs,2750
1257,Latvijas Radio 4- Doma laukums informatīvi analītisko raidījumu PRODUCENTS/-E,1750
1258,Arhitekts / Arhitekta palīgs,1900
1259,Senior System Analyst,3250
1260,Personal Assistant/Office administrator,1969
1261,Elektrotehnisko iekārtu elektroinženieris/e (elektroniķis),1900
1262,Servisa meistars/-e,3500
1263,Projektu vadītājs/-a mašīnbūves risinājumiem,2500
1264,Frontend Developer,2750
1265,Jurists/-e,2425
1266,Tehnoloģisko risinājumu departamenta direktors,2700
1267,"Norwegian Speaking Service Delivery Manager, Tietoevry Tech Services",2500
1268,"Business Controller, Tietoevry Tech Services",2200
1269,Head of Affiliates,6000
1270,Autoiekrāvēja vadītājs Latvijas filiālē,1600
1271,Pasūtījumu komplektētājs/-a saldēto preču noliktavā (-18 grādu temperatūrā),1563
1272,Personāla atlases speciālists,1700
1273,Pārdošanas menedžeris/-e/ projektu vadītājs/-a,1600
1274,Pārdošanas menedžeris-/e,2000
1275,Loģistikas speciālists/-e,2250
1276,Servisa konsultants,2500
1277,Maiņas meistars/-e,1200
1278,Noliktavas pārzinis Gatavās produkcijas noliktavā,2000
1279,Būvdarbu vadītāja palīgs/-dze,2114
1280,Produktu Vadītāja Assistents,1300
1281,Sales Specialist in Travel Company,1500
1282,Biznesa kontrolieris/-e,2000
1283,Pārdošanas speciālists,1500
1284,"Plānošanas, analīzes un iekšējās kontroles nodaļas finanšu analītiķa/-es ierēdņa amats",1809
1285,"Maiņu vadītājs Rīgā, T/C Domina",1175
1286,Account Manager (Riga) at a Bus Charter Company,2200
1287,"""KFC"" Restorāna vadītājs",1800
1288,Maiņas vadītājs - KFC Origo,1230
1289,KFC Maiņas Vadītājs - Rīga Plaza,1230
1290,Izglītības metodiķis,1603
1291,Ražošanas iekārtu mehāniķis/-e,1400
1292,Business Development Manager,3900
1293,Office Manager,1650
1294,Klientu atbalsta speciālists/-e,1325
1295,Senior Webmaster,2800
1296,Projekta vadītājs/-a,4301
1297,Jurista palīgs,1500
1298,Metāla produktu grupas vadītājs/-a,2750
1299,Recruiter,2500
1300,Zemsprieguma produktu grupas vadītājs/-a,2750
1301,Klientu apkalpošanas speciālists/-e - Pārdošanas asistents/-e Baltijas valstīs,1400
1302,Lielo Klientu Apkalpošanas Speciālists,2000
1303,Lietvedis/-e - Arhivārs/-e,1400
1304,Video Editor,1400
1305,"Klientu konsultants - pārdevējs/-a Rīgā, Pārdaugavā (Antenas ielā 3a)",1425
1306,Jurists/-e (vecākais iepirkumu speciālists/-e),2300
1307,Vecākais referents Tirgus analīzes un nodrošinājuma plānošanas nodaļā,1650
1308,Material Productivity Project assistant,1900
1309,Senior Sanctions Compliance Officer,3350
1310,MuleSoft Developer (Associate & Senior),3250
1311,"Open Position - Salesforce developer, Test Automation Specialist, DATA engineers",3850
1312,Pārdošanas vadītājs/-a,2631
1313,Baņķieris/-e,3000
1314,Vecākais inspektors/-e (2 vakances) Rīgas /Zemgales reģionā un Kurzemes reģionā,1219
1315,"IQOS veikala konsultants/ -e Tukumā, t/c Elvi (darbs uz noteiktu laiku)",240
1316,"Microsoft D365 CE/CRM Developer, Tietoevry Tech Services",3150
1317,Šķīdumu pagatavošanas operators/-e,1800
1318,Ķīmiķis/-e - analītiķis/-e,1850
1319,Revidents/-e / vecākais/-ā revidents/-e,2300
1320,Pārdošanas projektu vadītājs/-a,2000
1321,Produkta īpašnieks/-iece,2750
1322,ĀRSTS - Internists vai Infektologs,1821
1323,ĀRSTS - Internists 6. HIV/AIDS nodaļā,440
1324,Tele2 pārdošanas speciālists t/c Maxima Slokas ielā,1150
1325,Izpilddirektora vietnieks/-ce,1800
1326,Transportlīdzekļu vadītājs/-a ( 2 vakances),1054
1327,Pirmsskolas izglītības iestāžu PSIHOLOGS/-ĢE,1175
1328,Analītiķis/-e Finanšu analīzes un finanšu risku vadības pārvaldē,2400
1329,Pārdošanas speciālists/-e salonā Rīgā,1400
1330,Danish-speaking Customer Service Specialist,1575
1331,"IQOS veikala konsultants/ -e Ogrē, t/c Dauga (darbs uz noteiktu laiku)",280
1332,Iepirkumu nodaļas vadītāja vietnieks/-ce,1633
1333,Tirgus izpētes un iepirkumu metodoloģijas nodaļas vadītājs/-a,2620
1334,Korporatīvās vadības un stratēģijas daļas vadītājs/-a,3100
1335,Galvenais grāmatvedis/-e,4400
1336,Manufacturing Flow Controller,1775
1337,Bar chef aka barmaid on river cruise ships,2140
1338,Swedish Speaking Customer Support Specialist,1250
1339,"Mid/Sr Full-Stack Software Developer (C#, .NET, Azure, React)",3900
1340,Maitre D/Head waiter on river cruise ships,2682
1341,Shuffler,160
1342,Vadītājs/-a Virši veikaliem Tērbata un Origo,1600
1343,Electronic Product Quality Engineer,1775
1344,Customer Service Associate (English and Portuguese language),1625
1345,Junior Swedish Speaking IT Support Specialist,1600
1346,Customer Service Associate (English and Spanish language),1625
1347,English Speaking Game Presenter,240
1348,Customer Service Associate (English and Polish language),1625
1349,Customer Service Associate (English and Dutch language),1625
1350,Tehniskais asistents/-e Cēsu birojā ( darbam uz noteiktu laiku),1350
1351,Customer Service Associate (English and Italian language),1625
1352,Export manager,2830
1353,Pārdošanas speciālists/-e,2700
1354,Apsaimniekotājs-Tehniķis,1700
1355,Muitas brokeris/-e,2200
1356,Namdaris/ apdares darbu meistars,1425
1357,Invoicing Coordinator (Riga),1300
1358,Jaunākais apdrošināšanas speciālists/-e KDC Jēkabpils (darbam uz noteiktu laiku),1175
1359,Pārdošanas speciālists/-e,1600
1360,Jaunākais apdrošināšanas speciālists/-e KDC Rēzekne  (darbs uz noteiktu laiku),1425
1361,Jaunākais apdrošināšanas speciālists/-e KDC Ķekava,1050
1362,"Farmaceits, farmaceita asistents",1625
1363,Biroja Administratore/-s (LIETVEDE/-S),1300
1364,Klīnikas virsmāsa,1892
1365,Farmaceiti/-es/Farmaceita asistenti/-es aptiekās Rīgā,1525
1366,Prakse/darbs farmācijas studentiem,240
1367,Pārdevējs (-a) Virši veikalā Tērbata,400
1368,Pārdevējs (-a) Rīgā,560
1369,Pārdevējs - konsultants Rīgā,1500
1370,Caffeine virtuves darbinieks ( dienas maiņas),320
1371,Teritoriālplānotājs - eksperts,1363
1372,Projektu vadītājs,1641
1373,Sertificēts/-a B1 vai B2 gaisa kuģu tehniķis/-e,3700
1374,portāla jauns.lv ziņu redaktors/-e,1450
1375,Apmaksātas studijas Farmaceita asistentiem/-ēm,200
1376,Junior Web Developer,1175
1377,Ražošanas iecirkņa meistars/-e,2550
1378,PASŪTĪJUMU KONTROLIERIS/-E Frozen noliktavā (-18 grādu temperatūrā),1538
1379,Production Operations Analyst,2500
1380,Accounts Receivable Specialist (1 year contract),1700
1381,Noliktavas pārzinis/-e,1800
1382,B2B Pārdošanas menedžeris,2500
1383,SAP Business Warehouse Consultant,3000
1384,Cybersecurity Specialist,3000
1385,Jaunākais ražošanas kontroles centra koordinators/-e,1900
1386,Vecākais kontrolieris,1293
1387,"Mārketinga vadītājs/-a (attālināti, ~50% slodze)",640
1388,Senior Microsoft System Administrator,4500
1389,Videogrāfs/-e,1600
1390,SEO Specialist B2C,2100
1391,Konditorejas tehnologs - meistars,1500
1392,Personīgais asistents/-e,3500
1393,Front-end Developer,3200
1394,Klientu iesniegumu izskatīšanas speciālists,1150
1395,Tāmētājs/-a ar pieredzi būvniecības projektu tāmēšanā,2150
1396,Scrum Master / Scrum komandas vadītājs/-a,4000
1397,"Apdrošināšanas konsultants/-e Teikas nodaļā, Rīgā",1050
1398,System Administrator,1450
1399,Loģistikas speciālists/-e,2400
1400,Tirdzniecības pārstāvis (Jelgava),1400
1401,"Pārdevējs/-a Circle K Lido (Krasta ielā 70, Rīgā)",240
1402,DevOps Engineer,2750
1403,Āra teritorijas uzturēšanas darbinieks - dārznieks / Gardener,1036
1404,Strādnieks ēkas apsaimniekošanas nodaļā / Trades Helper,1141
1405,Grāmatvedis,1500
1406,Mehatronisko/elektrisko sistēmu tehniķis,1650
1407,Privātbaņķieris/-e Klientu vadības pārvaldē,3625
1408,VEIKALA WEEKEND MAXMARA PĀRDEVĒJS/-A - KONSULTANTS/-E,1175
1409,Inovāciju Projektu Vadītājs/-a,2350
1410,Finanšu un ieņēmumu plānošanas analītiķis,2250
1411,VECĀKAIS JURISTS/-E Jauno klientu apstiprināšanas nodaļā,2300
1412,Tehnologs/-ģe (Kokapstrādes joma),1950
1413,Galvenais grāmatvedis - finanšu direktors,3000
1414,Sistēmanalītiķis/-e,3400
1415,E-Commerce Shop Manager,2450
1416,Prakses grupas asistents/-e,1550
1417,Lauksaimniecības tehnikas mehāniķis Ķekavā,2100
1418,Android Developer,3750
1419,Vecākais finansists/-e,1483
1420,Full-stack programmētājs/-a,3850
1421,Ķīmiķis - analītiķis,1100
1422,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1423,Iepirkumu speciālista asistents Iepirkumu departamentā,1500
1424,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1425,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1426,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1427,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1428,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1429,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1430,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1431,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1432,5.novada pārvaldes jaunsargu instruktors Rīgā,1860
1433,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1434,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1435,Nodokļu pārvaldes Juridiskās daļas galvenā jurista ierēdņa amats,1891
1436,Drošības sistēmu inženieris/-e Viedās uzskaites vadības centrā,2950
1437,DEVOPS inženieris/-e Viedās uzskaites vadības centrā,2825
1438,Tehnoloģiju eksperts/-e Viedās uzskaites vadības centrā,2200
1439,SEO Copywriter (attālinātais darbs),1250
1440,Vecākais jurists,2000
1441,Personāla daļas vadītājs/-a,3100
1442,Lielo klientu piesaistes speciālists(-e) (Ziemeļamerikas tirgus),4300
1443,Pārdevējs/-a Circle K Pļavnieki 2 (Lubānas iela 119a) darbs bez nakts maiņām,240
1444,Transaction Processing SPECIALIST,1150
1445,IQOS veikala konsultants/ -e (t/c Spice),280
1446,Mārketinga speciālists/-e,1600
1447,Grāmatvedis/-e,1600
1448,Biroja vadītājs/-a,1500
1449,"Sales specialist, Sales manager",2250
1450,LAWYER / CONTRACTS MANAGER (F/M/D) | IGNITIS RENEWABLES,2495
1451,Global Lead Cloud Security Engineer,5250
1452,Biznesa risinājumu izstrādes un attīstības daļas vadītājs/-a,4600
1453,Klientu apkalpošanas galvenais speciālists,1317
1454,Copywriter,2000
1455,Support and moderation specialist,1000
1456,Kredītdaļas menedžeris/-e,1190
1457,"Pulētājs, slīpētājs, sagatavotājs krāsošanai",2250
1458,Datu uzskaites SAP key user Tehniskajā daļā (uz noteiktu laiku),1950
1459,Vecākais inspektors/-e (2 vakances) Rīgas /Zemgales reģionā un Kurzemes reģionā,1219
1460,Vecākais kasieris/-e,360
1461,Vecākais kasieris/-e,360
1462,Veikala vadītāja vietnieks/-ce,1380
1463,Nodaļu pārzinis/-e,1041
1464,Vecākais kasieris/-e,974
1465,Farmaceits/e un Farmaceita asistents/e Kuldīgā,1300
1466,Mārketinga speciālists,1500
1467,Farmaceits/e un Farmaceita asistents/e visā Latvijā,1300
1468,Farmaceits/e un Farmaceita asistents/e Ventspilī,1300
1469,Farmaceits/e un Farmaceita asistents/e Rīgā,1300
1470,Ražošanas datu analītiķis/-e,2200
1471,Project Manager,3500
1472,Biznesa pārdošanas speciālists/-e darbam pa telefonu,1850
1473,Sponsorship Activation Manager,2750
1474,Jurists/-e,1760
1475,Vecākais jurists/-e,2448
1476,Ekonomists/-e,1760
1477,Prakse Personāla nodaļā,700
1478,AML Specialist,1950
1479,Legal Advisor,2000
1480,Operators/-e (Gatavo zāļu formu cehā),240
1481,Reaktora operators (e),240
1482,Pārdošanas speciālists/-te,2000
1483,Vadošais reģistrācijas dokumentācijas izstrādes speciālists/-e,2000
1484,Mārketinga speciālists/-e,2250
1485,Kategorijas vadītāja asistents/-e,1200
1486,Biznesa analītiķis/-ke,2000
1487,Atlīdzību administrēšanas speciālists/-e,1250
1488,Business Development Executive,2920
1489,Projektu vadītājs - jurists (uz noteiktu laiku),1563
1490,Senior Artificial Intelligence Developer,4500
1491,Sagādnieks,1650
1492,Biznesa kontroles vadītājs/-a,2544
1493,Credit Controller (12 months FTC),1950
1494,Biznesa sistēmu galvenais lietotājs/-a,2226
1495,IGLU B2B pārdošanas speciālists/-e,2750
1496,Produktu grupas vadītājs/-a,2750
1497,Tehniskās dokumentācijas rakstītājs/-a,1500
1498,Administratīvais/-ā asistents/-e,1500
1499,"Klientu servisa vadītājs/a (uz noteiktu laiku, līdz 2 gadiem)",3150
1500,Technical SEO and tracking specialist,2552
1501,Apdrošināšanas konsultants/-e Tukumā,1025
1502,Projekta ieviešanas un vadības departamenta jaunākais tehniskais eksperts/-e,2800
1503,Projekta ieviešanas un vadības departamenta direktora asistents/-e,2000
1504,Nekustamo īpašumu atsavināšanas un apsaimniekošanas departamenta tehniskais asistents/-e,2000
1505,Nekustamo īpašumu atsavināšanas un apsaimniekošanas departamenta direktora asistents/-e,2000
1506,JURISKONSULTS/-E Līgumu vadības un juridiskā atbalsta daļā,1740
1507,Rīgas rajona tiesas (Jūrmalā) tiesas sēžu sekretārs (uz nenoteiktu laiku),1118
1508,Crew Experience Specialist,1700
1509,Finanšu kontrolieris/-e,2400
1510,Pārdevēja palīgs Rīgā,200
1511,Collections Specialist (working hours from 11:00 - 19:30),1375
1512,Pētnieks/-ce (izglītības jomā),2300
1513,Datu apstrādes speciālists,1000
1514,Senior Full-stack developer,4250
1515,On-Site IT Support,2750
1516,Nekustamo īpašumu pārvaldnieks,2200
1517,Ugunsdrošības un civilās aizsardzības inženieris,2200
1518,Klientu apkalpošanas speciālists/-e,1200
1519,"Farmaceits/e un Farmaceita asistents/e Rīgā, Torņakalnā(Darbam nakts maiņās)",1300
1520,Iekšējās drošības speciālists,2200
1521,IT projektu koordinators/-e,2700
1522,Iekšējās drošības tehniķis,1600
1523,Personāla speciālists,1278
1524,Rūpnieciskā piesārņojuma un gaisa kvalitātes pārvaldības vides eksperts,2600
1525,Vecākais būvinženieris - projektu vadītājs,2850
1526,"Pārdevējs/-a Apdares materiālu nodaļā Lucavsalas ielā 3, Rīgā",240
1527,Datu pārvaldības un analīzes vadītājs/-a,2950
1528,"Sezonas preču un dārza tehnikas pārdevējs/-a Lucavsalas ielā 3, Rīgā",240
1529,Rēķinvedis/-e,1144
1530,Bibliotekārs/-e (20 stundas nedēļā),400
1531,"Noliktavas darbinieks/-ce Rīgā, Mazā Rencēnu ielā 1",280
1532,Senior Accountant,2350
1533,Lauksaimniecības tehnikas tirdzniecības pārstāvis Kurzemes reģionā,2100
1534,Lauksaimniecības tehnikas tirdzniecības pārstāvis Kurzemes reģionā,2100
1535,Komunālās tehnikas pārdošanas speciālists,2250
1536,Elektronikas inženieris/-e,2150
1537,Pārdošanas menedžeris/e,2050
1538,Key Account Manager,2580
1539,Jurists/-e,1950
1540,IT Business Analyst / IT biznesa analītiķis/-e,3500
1541,Pārdošanas vadītājs/-a e-komercijas nozarē,3700
1542,"Klientu servisa speciālists (uz noteiktu laiku, līdz 2 gadiem)",1675
1543,Ražošanas darbinieks - slīpēšana.,1350
1544,Jurists nekustamā īpašuma attīstības jomā (pilna vai nepilna laika slodze),1800
1545,Apdrošināšanas konsultants/-e Jelgavā,1025
1546,Freelance programmētājs,4000
1547,Mehānisko sistēmu tehniķi,1475
1548,Kiberdrošības inženieris/-e,3750
1549,Ventilācijas un kondicionēšanas sistēmu tehniķis,1575
1550,Kiberdrošības speciālists/-e,3200
1551,Pārdošanas projektu vadītājs/-a,2250
1552,Speciālists/-e doktorantūras procesu lietvedības organizēšanai,1600
1553,Saldus filiāles vadītāja/-s,1500
1554,Mehānisko sistēmu būvdarbu vadītājs/-a,2850
1555,IT attīstības daļas vadītājs,6000
1556,Frontāla iekrāvēja ar kausu vadītājs,240
1557,Kravas automobiļa vadītājs/-a,1650
1558,Conversion Rate Optimization Strategist,2500
1559,Jira Developer,4250
1560,Senior PHP Developer (Trevolution),3500
1561,Junior Email&SMS Marketing Specialist,1500
1562,Middle/Senior Graphic Designer (Trevolution),2300
1563,Product Manager (Trevolution),4400
1564,Apdrošināšanas speciālists,1300
1565,ECB Regulatory Officer,3000
1566,Pārdevējs- konsultants T/C Akropole MOHITO,990
1567,Pārdošanas projektu vadītājs/-a,1800
1568,Automehāniķis,400
1569,Jaunākais(-ā) speciālists(-e) Nedzīvības apdrošināšanas klientu atbalsta nodaļā,1150
1570,Būvniecības nodaļas vadītāja vietnieks,2150
1571,Lauksaimniecības tehnikas tirdzniecības pārstāvis Kurzemes reģionā,2100
1572,Business Development Manager,3950
1573,Vecākais kiberdrošības pētnieks/-ce,4550
1574,Attīstības procesu vadītājs Aprūpē (nepilna slodze),1680
1575,Biedru attiecību vadītājs/-a,1650
1576,Mežizstrādes meistars/-e,2600
1577,Jaunākais/ā Risku Vadības Speciālists/-e,1200
1578,Jurista palīgs,1650
1579,Konferenču koordinātors/-e,1500
1580,Pārdošanas menedžeris/-e,1700
1581,Mehāniķis/-e,2600
1582,Elektrības tīklu projektētājs,2600
1583,Iepirkumu (sagādes) nodaļas asistents/-e,1500
1584,Galvanā gramatveža vietnieks (bilancspējīgs),2450
1585,Jaunu biznesu attīstības vadītājs/-a,2500
1586,HR Supervisor,2800
1587,Sales Manager (German speaking),1850
1588,iOS vecākais/-ā programmētājs/-a,3000
1589,Mārketinga projektu vadītājs/-a,2000
1590,Galvenā grāmatveža palīgs,1100
1591,Account Manager (German speaking),2500
1592,Vecākais/-ā sistēmu analītiķis/-e,3700
1593,Nekustamā īpašuma pārvaldnieks/-ce,2000
1594,MĀSA 91. Sirds ķirurģijas nodaļā,320
1595,"Veikala vadītājs/-a, Vecākais pārdevējs/-a",2200
1596,Ražošanas procesu efektivitātes un kontroles speciālists Gatavo zāļu formu ražošanas nodaļā,1650
1597,Tāmētājs,2200
1598,B2B Pārdošanas Guru,3000
1599,Performance Analyst,2150
1600,"Technical Support Engineer (L2) (on-site / remote job opportunity, Gambling industry)",3500
1601,"Database Developer (on-site / remote job opportunity, Gambling industry)",6000
1602,Sistēmu analītiķis/-e (junior/junior-middle),2450
1603,Maiņas vadītājs/-a (veikalā),1210
1604,Partnership Manager for China (Mandarin Chinese Speaker),2300
1605,Starptautiskais autotransporta kravu pārvadājumu speciālists/-e,1765
1606,2.novada pārvaldes jaunsargu instruktors Daugavpilī,1860
1607,Klientu apkalpošanas speciālists Plānveida uzņemšanā,240
1608,Klientu apkalpošanas speciālists,1150
1609,Ārzemju izglītības menedžeris/-e,1900
1610,Менеджер по обучению за рубежом,1900
1611,Study abroad manager,1900
1612,HR Biznesa partneris/-e (uz noteiktu laiku),2400
1613,Data Engineer,3500
1614,SMM speciālists,1510
1615,Vecākais/-ā grāmatvedis/-e,2100
1616,Palīgstrādniece/-ks (Ražošanas departamentā),200
1617,Inventory Planner,1655
1618,Tehnisko projektu vadītājs (2 vakances),2000
1619,Product Manager,2600
1620,Elektronikas tehniķis/-e,1400
1621,Biroja administrators(-e),1150
1622,Koksnes produkcijas iepirkumu vadītājs/-a,3000
1623,Marketing Specialist,1850
1624,Remontatslēdznieks/-ce (HES iekārtu remonta dienestā),1634
1625,Accounts Payable Team Leader,1750
1626,Elektriķis-servisa tehniķis,1695
1627,Muitas pārvaldes Rīgas muitas kontroles punktu daļas Muitas kontroles punktu muitas uzraugs,1226
1628,Fizisko personu parādu un citu maksājumu atgūšanas daļas  galvenais nodokļu inspektors,1226
1629,Otrās juridisko personu parādu atgūšanas daļas  Piektās nodaļas galvenais nodokļu inspektors,1226
1630,Otrās juridisko personu parādu atgūšanas daļas  Piektās nodaļas galvenais nodokļu inspektors,1226
1631,Otrās juridisko personu parādu atgūšanas daļas  Piektās nodaļas galvenais nodokļu inspektors,1226
1632,Uzkopšanas darbu vadītājs,1500
1633,Veikala vadītājs Dobelē,2300
1634,Senior Accountant for R2R Norway,2100
1635,Senior Business Analyst,3500
1636,Datu ievades un apstrādes speciālists/-e,1150
1637,Third Party Risk & Compliance Manager,3270
1638,Администратор офиса / Секретарь,1500
1639,Biroja administrators / Sekretāri,1500
1640,"Mobilais jaunatnes darbinieks/-ce (0,5 slodze)",550
1641,BIM koordinatora asistents,1450
1642,Pārdošanas Projekta Vadītājs/a IT Loģistikas Produktam (ar krievu valodas zināšanām),1450
1643,Finanšu konsultants (-e) Kontaktu centrā (pus slodze),1450
1644,Lithuanian speaking customer support specialist for NETS business clients,1635
1645,Eksporta Mārketinga Attīstības Projektu Vadītājs/a (ar krievu valodas zināšanām),2750
1646,Pārdošanas menedžeris/-e,1550
1647,Ūdensapgādes un kanalizācijas sistēmu inženieris,1900
1648,Integration Engineer,3300
1649,Administratīvais asistents/-e ar pieredzi sociālo mediju un juridiskajā jomā,3666
1650,Loģistikas speciālists,1500
1651,Loģistikas speciālists,1550
1652,Sales manager,1700
1653,Sistēmu atbalsta jaunākais speciālists/-e,1200
1654,Klientu apkalpošanas speciālists/-e,1440
1655,Procurment and Tendering Specialist (F/M/D) | Ignitis Renewables,3169
1656,Salesforce Technical Architect,4350
1657,Projektu vadītājs,2100
1658,Tiesvedības un strīdu risināšanas prakses grupas vadītājs/-a,3500
1659,Tiesībsarga biroja Diskriminācijas novēršanas nodaļas sociologs/ socioloģe,1967
1660,Postgres/MariaDB Database Administrator,3400
1661,Oracle Database Administrator,3400
1662,Mid-Sen QA Automation Specialist,3650
1663,Senior Full-stack developer,4250
1664,Iekārtu tehniķis Iekārtu ekspluatācijas nodrošinājuma nodaļā,1800
1665,Iekšējais auditors (ar specializāciju IT jomā),2550
1666,Pārtikas tehnologs,2500
1667,E-commerce Marketplace Specialist,1600
1668,Lietvedis Reģistrācijas nodaļā (uz prombūtnes laiku),1500
1669,Collections Specialist,1375
1670,Talantu piesaistes speciālists/te,1400
1671,Jaunākais finanšu kontrolieris/-e,1700
1672,Laboratorijas tehniķis,1770
1673,Senior DevOps Engineer R&D,5650
1674,Eksperts/-e publisko iepirkumu jautājumos,1695
1675,Galvenais ārsts/-e Cēsu klīnikā,3900
1676,Kokmateriālu iepircējs,2250
1677,Junior IT Business Analyst,1400
1678,Elektrotīklu Projektētājs/ Projektētāja palīgs/ Rasētājs,2000
1679,Social Media Advertising Manager B2C,2250
1680,Projektu asistents/-e,1500
1681,Ražošanas darbinieks/-ce,1550
1682,Mārketinga projektu vadītājs,3250
1683,QA Team Lead,4750
