"Kods","Nosaukums","Apraksts","Vecāks"
"4226 01","Klientu un pacientu REĢISTRATORS","","4226"
"4226 02","REĢISTRATORS","","4226"
"4226 03","SPA ADMINISTRATORS","","4226"
"4227","Aptauju un tirgus pētījumu intervētāji"," PROFESIJU ATSEVIŠĶĀ GRUPA""4227 Aptauju un tirgus pētījumu intervētāji""Atsevišķās grupas ""4227 Aptauju un tirgus pētījumu intervētāji"" profesijā nodarbinātie intervē iedzīvotājus un ieraksta viņu atbildes par aptaujas vai tirgus pētījuma jautājumiem par vairākām tēmām.Atsevišķās grupas ""4227 Aptauju un tirgus pētījumu intervētāji"" profesija un atbilstoši pamatuzdevumi:– sazināties ar personām pa tālruni vai personīgi un paskaidrot intervijas nolūkus; uzdot konkrētus aptaujas vai apsekojuma jautājumus; pierakstīt atbildes uz papīra vai ievadīt tieši datubāzē, izmantojot datoru; identificēt un atrisināt pretrunīgas atbildes; nodrošināt atgriezenisko saiti ar apsekojuma sponsoriem par problēmām, saņemt ticamus datus.","422"
"4227 01","INTERVĒTĀJS","","4227"
"4229","Citur neklasificēti klientu informēšanas darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4229 Citur neklasificēti klientu informēšanas darbinieki""Atsevišķās grupas ""4229 Citur neklasificēti klientu informēšanas darbinieki"" profesijā nodarbinātie iegūst un apstrādā informāciju no klientiem, nosaka tiesības saņemt pakalpojumus.Atsevišķās grupas ""4229 Citur neklasificēti klientu informēšanas darbinieki"" profesija un atbilstoši pamatuzdevumi: – iegūt un apstrādāt informāciju par pacientu aptaujas rezultātiem slimnīcu ārstniecības pakalpojumu nodrošināšanai; intervēt pretendentus par valsts palīdzību, vākt informāciju, kas attiecas uz tās piemērošanu; pārbaudīt informāciju; piešķirt, pārtraukt vai atteikt palīdzību; sniegt informāciju saistībā ar pabalstiem un citām sociālajām garantijām; sniegt informāciju par citām ārstniecības iestādēm.","422"
"4229 01","Ārstniecības pakalpojumu informēšanas OPERATORS","","4229"
"43","Uzskaites un materiālo vērtību reģistrēšanas darbinieki","Ceturtās pamatgrupas apakšgrupas ""43 Uzskaites un materiālo vērtību reģistrēšanas darbinieki"" profesijas klasificētas šādās mazajās grupās:mazā grupa ""431 Uzskaites darbinieki"";mazā grupa ""432 Materiālo vērtību un transporta darbības uzskaites darbinieki"".","4"
"431","Uzskaites darbinieki"," PROFESIJU MAZĀ GRUPA""431 Uzskaites darbinieki""Mazās grupas ""431 Uzskaites darbinieki"" profesijās nodarbinātie vāc, klasificē un sistematizē grāmatvedības, finanšu un statistikas informāciju, veic apdrošināšanas un bankas finanšu operācijas.Mazās grupas ""431 Uzskaites darbinieki"" profesijas klasificētas šādās atsevišķajās grupās:atsevišķā grupa ""4311 Uzskaites un grāmatvedības darbinieki"";atsevišķā grupa ""4312 Statistikas, finanšu un apdrošināšanas darbinieki"";atsevišķā grupa ""4313 Algu aprēķināšanas darbinieki"".Mazās grupas ""431 Uzskaites darbinieki"" un minēto atsevišķo grupu profesijām atbilstošās kvalifikācijas pamatprasības:zina: profesionālās darbības metodes un paņēmienus, darbā izmantojamo tehnisko līdzekļu darbības principus un lietošanas noteikumus, savstarpēji saistīto darba procesu izpildes secību, to racionālu organizāciju, darba režīmus, produkcijas, pakalpojumu un citu darbības veidu izmaksu veidošanos, nozares terminoloģiju, ar nozari saistītos tiesību aktus un standartus, darba un vides aizsardzības normatīvo aktu prasības, darba tiesisko attiecību normas, profesionālās ētikas pamatprincipus un uzvedības normas;prot: lietot praksē teorētiskās zināšanas un tās nepārtraukti papildināt, izmantot informācijas tehnoloģijas, pašizglītoties, pilnveidot profesionālās prasmes un iemaņas;atbild: par savas profesionālās darbības rezultātiem, par veikto pamatuzdevumu izpildes norisi un radītajām sekām, par paša pieņemtajiem lēmumiem, par uzticētajiem darba līdzekļiem un priekšmetiem, par citu savā darbībā skarto personu drošību, par darba aizsardzības instrukciju un darba disciplīnas ievērošanu;izglītība: pamata vai vidējās pakāpes profesionālā izglītība.","43"
"4311","Uzskaites un grāmatvedības darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4311 Uzskaites un grāmatvedības darbinieki""Atsevišķās grupas ""4311 Uzskaites un grāmatvedības darbinieki"" profesijās nodarbinātie palīdz veikt uzskaiti un grāmatvedības operācijas, aprēķināt pašizmaksu un algas, saņemt naudu no abonentiem, kā arī izmaksāt algas un veikt inventarizācijas.Atsevišķās grupas ""4311 Uzskaites un grāmatvedības darbinieki"" profesijas un atbilstoši pamatuzdevumi:– izdarīt ierakstus uzskaites un grāmatvedības dokumentos; veikt nepieciešamos aprēķinus; veikt citas mazāk atbildīgas uzskaites un grāmatvedības funkcijas; atbilstoši spēkā esošajām instrukcijām rēķināt produkcijas pašizmaksu; saņemt naudu no abonentiem; veikt skaidras un bezskaidras naudas operācijas; aprēķināt pašvaldības nodokļus un nodevas; sagatavot aprēķinus objekta remonta, renovācijas vai rekonstrukcijas darbu tāmēm; periodiski braukt uz veikaliem; veikt inventarizācijas veikalos; konstatēt preču atlikumus vai iztrūkumus; nodot pārskatus par inventarizācijas rezultātiem; strādāt ar skaidras naudas un pamatlīdzekļu uzskaiti mazajā uzņēmumā; veikt algu aprēķinu; veikt uzskaiti noliktavās; veikt materiālu, izejvielu, darba instrumentu un darba apģērbu, kā arī citu preču uzskaiti; pieņemt, pārbaudīt un parakstīt materiālu, izejvielu un preču piegādes dokumentus; kontrolēt materiālu, izejvielu, darba instrumentu un darba apģērbu, kā arī citu preču atlikumus noliktavā; pēc pieprasījuma sagatavot nepieciešamos informatīvos pārskatus.","431"
"4311 01","GRĀMATVEDIS (trešā līmeņa kvalifikācija)","","4311"
"4311 02","KASIERIS","","4311"
"4311 03","Grāmatvedības UZSKAITVEDIS","","4311"
"4311 04","Pašizmaksas RĒĶINĀTĀJS","","4311"
"4311 06","Nodokļu/ nodevu ADMINISTRATORS","","4311"
"4311 07","RĒĶINVEDIS","","4311"
"4311 08","TĀMĒTĀJS","","4311"
"4311 09","INVENTARIZATORS","","4311"
"4311 10","Kontu OPERATORS","","4311"
"4312","Statistikas, finanšu un apdrošināšanas darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4312 Statistikas, finanšu un apdrošināšanas darbinieki""Atsevišķās grupas ""4312 Statistikas, finanšu un apdrošināšanas darbinieki"" profesijās nodarbinātie uzskaita un apstrādā statistikas, finanšu un apdrošināšanas informāciju, veic ar bankas operācijām saistītus kancelejas darbus.Atsevišķās grupas ""4312 Statistikas, finanšu un apdrošināšanas darbinieki"" profesijas un atbilstoši pamatuzdevumi:– saņemt un sakārtot statistikas informāciju; saskaitīt skaitļus, aprēķināt procentus un ierakstīt tos tabulās; sagatavot finanšu dokumentus; aprēķināt starpnieku maksājumus; uzskaitīt vērtspapīrus; intervēt iedzīvotājus.","431"
"4312 01","TAKSĒTĀJS","","4312"
"4312 02","Statistikas un finanšu UZSKAITVEDIS","","4312"
"4312 03","Apdrošināšanas DARBINIEKS","","4312"
"4313","Algu aprēķināšanas darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4313 Algu aprēķināšanas darbinieki""Atsevišķās grupas ""4313 Algu aprēķināšanas darbinieki"" profesijā nodarbinātie veic darba algas aprēķinu un izmaksu un citas grāmatvedības operācijas.Atsevišķās grupas ""4313 Algu aprēķināšanas darbinieki"" profesija un atbilstoši pamatuzdevumi:– veikt uzskaiti par darbinieka nostrādāto laiku, atvaļinājuma laiku un virsstundām; aprēķināt darbinieku darba samaksu un pabalstus, izmantojot datorprogrammas; aprēķināt un sagatavot izziņas par darbinieku vidējo izpeļņu; veikt darba samaksas un pabalstu maksājumus.","431"
"4313 01","Algu GRĀMATVEDIS","","4313"
"432","Materiālo vērtību un transporta darbības uzskaites darbinieki"," PROFESIJU MAZĀ GRUPA""432 Materiālo vērtību un transporta darbības uzskaites darbinieki""Mazās grupas ""432 Materiālo vērtību un transporta darbības uzskaites darbinieki"" profesijās nodarbinātie uzskaita novietoto, pasūtīto vai uzkrājamo produkcijas daudzumu, plāno ražošanai nepieciešamo materiālu daudzumu, veic nepārtrauktu ražošanas uzskaiti, koordinē pasažieru un kravas transporta darbību.Mazās grupas ""432 Materiālo vērtību un transporta darbības uzskaites darbinieki"" profesijas klasificētas šādās atsevišķajās grupās:atsevišķā grupa ""4321 Noliktavu darbinieki"";atsevišķā grupa ""4322 Ražošanas uzskaites darbinieki"";atsevišķā grupa ""4323 Transporta uzskaites darbinieki"".Mazās grupas ""432 Materiālo vērtību un transporta darbības uzskaites darbinieki"" un minēto atsevišķo grupu profesijām atbilstošās kvalifikācijas pamatprasības:zina: profesionālās darbības metodes un paņēmienus, darbā izmantojamo tehnisko līdzekļu darbības principus un lietošanas noteikumus, darba drošības noteikumus jūras ostās, kravu iekraušanas un nostiprināšanas tehniskos noteikumus, kravu pārvadāšanas noteikumus, ostas iekārtu un ostas akvatorijas ekspluatācijas tehniskos noteikumus, jūras ostu pacēlājtransporta iekārtu ekspluatācijas tehniskos noteikumus, savstarpēji saistīto darba procesu izpildes secību, to racionālu organizāciju, darba režīmus, nozares terminoloģiju, ar nozari saistītos tiesību aktus un standartus, darba un vides aizsardzības normatīvo aktu prasības, darba tiesisko attiecību normas, profesionālās ētikas pamatprincipus un uzvedības normas;prot: lietot praksē teorētiskās zināšanas un tās nepārtraukti papildināt, izmantot informācijas tehnoloģijas, pašizglītoties, pilnveidot profesionālās prasmes un iemaņas;atbild: par savas profesionālās darbības rezultātiem, par veikto pamatuzdevumu izpildes norisi un radītajām sekām, par paša pieņemtajiem lēmumiem, par uzticētajiem darba līdzekļiem un priekšmetiem, par citu savā darbībā skarto personu drošību, par darba aizsardzības instrukciju un darba disciplīnas ievērošanu;izglītība: pamata vai vidējās pakāpes profesionālā izglītība.","43"
"4321","Noliktavu darbinieki","PROFESIJU ATSEVIŠĶĀ GRUPA""4321 Noliktavu darbinieki""Atsevišķās grupas ""4321 Noliktavu darbinieki"" profesijās nodarbinātie uzskaita noliktavā saņemto gatavo produkciju, saņemtos, nosvērtos, sakrautos un novietotos materiālus.Atsevišķās grupas ""4321 Noliktavu darbinieki"" profesijas un atbilstoši pamatuzdevumi:– organizēt un kontrolēt preču saņemšanu un izsniegšanu; pārbaudīt pieņemto vērtību atbilstību pamatdokumentiem; organizēt izkraušanas, iekraušanas un novietošanas darbus; komplektēt preces atbilstoši pasūtītāja pavadrakstam; uzskaitīt noliktavā novietotās preces; rakstīt inventarizācijas sarakstus; pieņemt pienu un citu preci savākšanas maršrutā; pieņemt produkciju (preces) uzglabāšanai noliktavā, saskaitīt to un apskatīt, vai tā nav bojāta, atbilst pēc daudzuma, pēc svara un iepakojuma atbilstoši pavadzīmei; parakstīt pavadzīmi par produkcijas (preču) pieņemšanu; pirms nosūtīšanas pārbaudīt nokomplektētās produkcijas (preču) atbilstību produkcijas (preču) klienta iesniegtajiem pieprasījuma dokumentiem; ziņot savam tiešajam vadītājam par nepareizu produkcijas (preču) nokomplektēšanu; būt materiāli atbildīgam par precēm; uzskaitīt, numurēt un reģistrēt kostīmu reģistrā kostīmus; labot kostīmus; nodrošināt kostīmu apriti; uzturēt noliktavas labā darba kārtībā; pieņemt un nodot importa un eksporta kravas; uzskaitīt pieņemto un izdoto taru; organizēt taras izkraušanu un iekraušanu atbilstoši pavaddokumentiem; pieņemt atgriezto produkciju saskaņā ar pavaddokumentiem; uzskaitīt faktiski atgriezto produkciju; atbildēt par precīzu un kvalitatīvu produkcijas pakošanu saskaņā ar uzņēmuma mērķiem.","432"
"4321 01","Noliktavu EKSPEDITORS","","4321"
"4321 02","MANTZINIS","","4321"
"4321 03","Noliktavas PĀRZINIS","","4321"
"4321 04","SVĒRĀJS","","4321"
"4321 05","Kravas NOFORMĒTĀJS","","4321"
"4321 06","PREČZINIS","","4321"
"4321 07","Produkcijas/ preces PIEŅĒMĒJS","","4321"
"4321 08","Noliktavas DARBINIEKS","","4321"
"4321 09","Komplektēšanas KONTROLIERIS","","4321"
"4321 10","Maiņas VECĀKAIS","","4321"
"4321 11","Taras PĀRZINIS","","4321"
"4321 12","Atgrieztās produkcijas UZSKAITVEDIS","","4321"
"4322","Ražošanas uzskaites darbinieki","PROFESIJU ATSEVIŠĶĀ GRUPA""4322 Ražošanas uzskaites darbinieki""Atsevišķās grupas ""4322 Ražošanas uzskaites darbinieki"" profesijās nodarbinātie plāno, aprēķina ražošanas programmas izpildei nepieciešamo materiālu, enerģijas un kurināmā daudzumu, kā arī seko produkcijas piegādes grafikam, enerģijas sadalei un patēriņam.Atsevišķās grupas ""4322 Ražošanas uzskaites darbinieki"" profesijas un atbilstoši pamatuzdevumi:– aprēķināt ražošanai vai iestādes darbībai nepieciešamo materiālo resursu daudzumu, kvalitāti un sortimentu; sastādīt materiālo resursu pasūtīšanas grafiku un sekot to piegādei; organizēt resursu sadali; pieņemt un reģistrēt ziņojumus par visu veidu bojājumiem; veikt izpildīto remontdarbu uzskaiti; kontrolēt saimniecisko līgumu saistību izpildi; veikt produkcijas operatīvo uzskaiti; pārbaudīt ražošanas pasūtījumus; pieņemt preču un materiālu vērtības pēc daudzuma, kvalitātes un nomenklatūras; noformēt materiālu un izejvielu pieņemšanas dokumentus; izvietot un sašķirot ienākošos materiālus; nosūtīt un izsniegt materiālus uz atbilstošo dokumentu pamata; noformēt pasūtījumus; nodrošināt degvielas uzpildes operācijas un iekraušanas darbu drošību; strādāt ar datorprogrammām, ievadot ienākošas un izejošas pārvietošanas dokumentus; nodrošināt efektīvu ražošanas plāna izpildi; aprēķināt objekta telpu remonta, renovācijas vai rekonstrukcijas darbu apjomus; pārbaudīt iestāžu vai būvuzņēmumu sagatavotās objekta remonta, renovācijas un rekonstrukcijas darbu tāmes un sniegt atzinumu par tām; piedalīties objektu apsekošanā un to tehniskā stāvokļa novērtēšanā.","432"
"4322 01","Materiālu PLĀNOTĀJS","","4322"
"4322 02","Ražošanas PLĀNOTĀJS","","4322"
"4322 03","Ražošanas DISPEČERS","","4322"
"4322 04","Darbu RĪKOTĀJS","","4322"
"4322 05","Ražošanas KONTROLIERIS","","4322"
"4322 06","Galvenais saimniecības PĀRZINIS","","4322"
"4322 07","Vecākais saimniecības PĀRZINIS","","4322"
"4322 08","Degvielas UZSKAITVEDIS","","4322"
"4322 10","Remontdarbu DISPEČERS","","4322"
"4323","Transporta uzskaites darbinieki","PROFESIJU ATSEVIŠĶĀ GRUPA""4323 Transporta uzskaites darbinieki""Atsevišķās grupas ""4323 Transporta uzskaites darbinieki"" profesijās nodarbinātie veic visu transportlīdzekļu veidu uzskaiti, koordinē pasažieru un kravas pārvadājumu kustību pa autoceļiem, dzelzceļu, gaisa, ūdens līnijām, gatavo informāciju iestādes vadībai, uzskaita, nodrošina un organizē transportlīdzekļu iekraušanas/izkraušanas darbus, kā arī veic kuģu ienākšanas un iziešanas formalitātes ostās un citās valsts vai pašvaldību institūcijās, pieņem un uzskaita kokmateriālus un citu kravu, vada trases treniņus.Atsevišķās grupas ""4323 Transporta uzskaites darbinieki"" profesijas un atbilstoši pamatuzdevumi:– veikt visas transporta kustības (tai skaitā kravas pārvadājumu) uzskaiti un koordinēšanu; pieņemt un uzskaitīt kokmateriālus; veikt kokmateriālu kontroli; organizēt kokmateriālu nosūtīšanas darbus; noskaidrot un noteikt vilcienu kustības grafiku attiecīgajā dzelzceļa zonā; uzskaitīt un kontrolēt kravas pārvadājumus; sastādīt un koordinēt kravu iekraušanas un izkraušanas grafikus; efektīvi un kvalitatīvi nodrošināt transportlīdzekļu (kuģu, dzelzceļa vagonu, autotransporta) iekraušanu/izkraušanu noteiktā laikā; nodrošināt izstrādes normu izpildi; kontrolēt ostas teritorijā esošo būvju, iekārtu, inventāra, sliežu ceļu un noliktavu stāvokli; novērtēt pārkraušanai paredzētās kravas īpatnības un stāvokli, pārkraušanas kārtību; saņemt pārkraušanas dokumentus, noformēt kravas apstrādes dokumentus; vadīt kuģu pietauvošanos un attauvošanos no piestātnēm; pārstāvēt kuģa īpašnieka intereses darbībās ar citām juridiskām un fiziskām personām; veikt kuģu ienākšanas un iziešanas formalitātes ostās un citās valsts un pašvaldības institūcijās; īstenot kuģa apkalpes interesēs konsulārās formalitātes un finanšu operācijas pēc kuģa īpašnieka pilnvarojuma; pieņemt no kuģu aģentiem kuģu ienākšanas un iziešanas dokumentus; veikt kuģu kustības uzskaiti; pieņemt un izziņot kuģiem un ostā esošajiem uzņēmumiem meteoroloģijas prognozes un ūdenslīmeņa svārstības; nodrošināt kuģu žurnālu reģistrēšanu; organizēt ostas akvatorijā piesārņojumu seku likvidēšanu, glābšanas un avārijas darbus; koordinēt pasažieru pārvadāšanu; novērot un kontrolēt satiksmes plūsmu un satiksmes organizāciju svarīgākajos satiksmes mezglos konkrētās pilsētas vietās, kur uzstādītas videonovērošanas sistēmas; pieņemt informāciju par novērotajiem satiksmes traucējumiem un nodot to uzņēmumiem, kuru darbība ir saistīta ar satiksmi, tās organizāciju, sabiedriskā transporta pakalpojumiem pilsētā, kā arī informēt plašsaziņas līdzekļus; vadīt trases treniņus no informācijas telpas un sadarboties ar ledus dienestu; pirms darba uzsākšanas pārbaudīt nepieciešamo iekārtu darbību; saņemt apstiprinājumu par trases gatavību treniņam no trases apkalpojošā dienesta; saņemt starta kārtības protokolu no trenera un vienoties par to, kādā valodā tiks sniegta informācija treniņa laikā; informēt sportistus par starta secību un atlikušo laiku līdz treniņa sākumam; pieņemt lēmumus par lidlauka tehnisko un operacionālo gatavību apkalpot gaisa kuģus; nodrošināt optimālu gaisa kuģu svara un balansa nosacījumu izpildi pirms izlidošanas; sagatavot gaisa kuģi drošam lidojumam, veikt dokumentācijas savlaicīgu un precīzu sagatavošanu atbilstoši aviopārvadātāja standartiem un noteikumiem, uzraudzīt izlidojumu kontroles sistēmas atbalsta centra funkcijas; veikt izlidojošo un ielidojošo reisu apkalpošanu; plānot un uzraudzīt lidojumu apkalpošanu; vadīt un vērtēt lidostas operatīvos procesus un virszemes apkalpošanas personālu; organizēt un uzraudzīt virszemes apkalpošanā izmantojamās tehnikas ekspluatāciju un bagāžas apriti.","432"
"4323 01","Transporta DISPEČERS","","4323"
"4323 02","Galvenais transporta INSPEKTORS","","4323"
"4323 03","Transporta INSPEKTORS","","4323"
"4323 04","Transporta KONTROLIERIS","","4323"
"4323 05","Transporta biroja PĀRVALDNIEKS","","4323"
"4323 06","Dzelzceļa pārvadājumu un kustības ORGANIZATORS","","4323"
"4323 07","Maršruta PĀRRAUGS","","4323"
"4323 08","Transportlīdzekļu manevru PĀRRAUGS","","4323"
"4323 09","Transportlīdzekļu PIEŅĒMĒJS","","4323"
"4323 10","Kravas PIEŅĒMĒJS NOSŪTĪTĀJS","","4323"
"4323 11","Ātrummērīšanas lenšu NOLASĪTĀJS","","4323"
"4323 12","Stacijas DEŽURANTS","","4323"
"4323 14","Līnijas dzelzceļa stacijas PRIEKŠNIEKS","","4323"
"4323 15","Dzelzceļa DISPEČERS","","4323"
"4323 16","Dzelzceļa depo DEŽURANTS","","4323"
"4323 17","Transporta grafika ANALĪTIĶIS","","4323"
"4323 21","Dzelzceļa OPERATORS","","4323"
"4323 23","Dzelzceļa DEŽURANTS","","4323"
"4323 24","Dzelzceļa DEŽURANTA PALĪGS","","4323"
"4323 25","Pasažieru vilciena KONTROLIERIS (revidents)","","4323"
"4323 26","Transporta PĀRRAUGS","","4323"
"4323 27","Videonovērošanas OPERATORS","","4323"
"4323 28","Kravas pārkraušanas darbu ORGANIZATORS ostā","","4323"
"4323 29","TĀLMANIS","","4323"
"4323 30","Kuģu AĢENTS","","4323"
"4323 31","BRIGADIERIS (ostas pakalpojumu jomā)","","4323"
"4323 32","Ostas UZRAUGS","","4323"
"4323 33","Trases DISPEČERS","","4323"
"4323 34","Līnijas dzelzceļa stacijas DEŽURANTS","","4323"
"4323 35","Lidmašīnu svara un balansa kontroles SPECIĀLISTS","","4323"
"4323 36","Lidlauka DISPEČERS","","4323"
"4323 37","Lidojuma KOORDINATORS"," ","4323"
"4323 38","Lidostas operatīvo procesu KOORDINATORS"," ","4323"
"44","Citi kalpotāji","Ceturtās pamatgrupas apakšgrupas ""44 Citi kalpotāji"" profesijas klasificētas šādā mazajā grupā:mazā grupa ""441 Citi kalpotāji"".    ","4"
"441","Citi kalpotāji"," PROFESIJU MAZĀ GRUPA""441 Citi kalpotāji""Mazās grupas ""441 Citi kalpotāji"" profesijās nodarbinātie reģistrē, komplektē, izsniedz un saņem grāmatas no lasītājiem, klasificē un aizpilda kartotēkas, šķiro un iznēsā pastu, šifrē un koriģē tekstus, aizpilda dokumentus, veic citus pienākumus.Mazās grupas ""441 Citi kalpotāji"" profesijas klasificētas šādās atsevišķajās grupās:atsevišķā grupa ""4411 Bibliotēku darbinieki"";atsevišķā grupa ""4412 Pasta piegādes un šķirošanas darbinieki"";atsevišķā grupa ""4413 Informācijas kodētāji, korektori un tiem radniecīgu profesiju darbinieki"";atsevišķā grupa ""4414 Rakstveži un tiem radniecīgu profesiju darbinieki"";atsevišķā grupa ""4415 Arhivēšanas un kopēšanas darbu darbinieki"";atsevišķā grupa ""4416 Personāla uzskaites darbinieki"";atsevišķā grupa ""4419 Citur neklasificēti kalpotāji"".Mazās grupas ""441 Citi kalpotāji"" un minēto atsevišķo grupu profesijām atbilstošās kvalifikācijas pamatprasības:zina: profesionālā darba metodes un paņēmienus, darbā izmantojamo tehnisko līdzekļu darbības principus un lietošanas noteikumus, savstarpēji saistīto darba procesu izpildes secību, to racionālu organizāciju, darba režīmus, nozares terminoloģiju, ar nozari saistītos tiesību aktus un standartus, darba un vides aizsardzības normatīvo aktu prasības, darba tiesisko attiecību normas, profesionālās ētikas pamatprincipus un uzvedības normas;prot: lietot praksē teorētiskās zināšanas un tās nepārtraukti papildināt, izmantot informācijas tehnoloģijas, pašizglītoties, pilnveidot profesionālās prasmes un iemaņas;atbild: par savas profesionālās darbības rezultātiem, par veikto pamatuzdevumu izpildes norisi un radītajām sekām, par paša pieņemtajiem lēmumiem, par uzticētajiem darba līdzekļiem un priekšmetiem, par citu savā darbībā skarto personu drošību, par darba aizsardzības instrukciju un darba disciplīnas ievērošanu;izglītība: pamata vai vidējās pakāpes profesionālā izglītība.","44"
"4411","Bibliotēku darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4411 Bibliotēku darbinieki""Atsevišķās grupas ""4411 Bibliotēku darbinieki"" profesijās nodarbinātie veic bibliotēkas dienesta darbus, kā arī aizpilda un klasificē lietvedības kartotēku reģistrācijas dokumentus.Atsevišķās grupas ""4411 Bibliotēku darbinieki"" profesijas un atbilstoši pamatuzdevumi:– uzglabāt, komplektēt vai reģistrēt grāmatas un dokumentus; reģistrēt bibliotēkas apmeklētājus, izsniegt un saņemt grāmatas; gatavot dokumentu vai izziņu kopijas; sastādīt, sistematizēt un ierakstīt izziņas, pamatojoties uz arhīva dokumentiem; uzskaitīt dokumentus.","441"
"4411 01","REĢISTRĒTĀJS","","4411"
"4411 02","Bibliotēku LIETVEDIS","","4411"
"4412","Pasta piegādes un šķirošanas darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4412 Pasta piegādes un šķirošanas darbinieki""Atsevišķās grupas ""4412 Pasta piegādes un šķirošanas darbinieki"" profesijās nodarbinātie veic pasta sūtījumu pieņemšanu un apstrādi, šķiro, reģistrē pasta korespondenci un piegādā to adresātiem no pasta nodaļām, kā arī paša uzņēmuma ietvaros.Atsevišķās grupas ""4412 Pasta piegādes un šķirošanas darbinieki"" profesijas un atbilstoši pamatuzdevumi: – saņemt, šķirot, reģistrēt un sagatavot piegādei korespondenci, bandroles, iespiedizdevumus; noteiktā laikā piegādāt adresātiem visu veidu pasta sūtījumus; koordinēt iestāžu un organizāciju pasta piegādes laika grafiku; sniegt pasta norēķinu sistēmas (PNS) un citus pakalpojumus klientiem; pieņemt sūdzības un priekšlikumus no klientiem; sagatavot darba dienas/maiņas un mēneša pārskatus; veikt skaidras naudas, pasta sūtījumu un mantisko vērtību apgrozījuma uzskaiti.","441"
"4412 01","Pasta NOSŪTĪTĀJS","","4412"
"4412 02","Pasta KURJERS","","4412"
"4412 03","PASTNIEKS","","4412"
"4412 04","Tiesas ZIŅNESIS","","4412"
"4412 05","Pasta ŠĶIROTĀJS","","4412"
"4412 06","Pasta DARBINIEKS","","4412"
"4413","Informācijas kodētāji, korektori un tiem radniecīgu profesiju darbinieki","PROFESIJU ATSEVIŠĶĀ GRUPA""4413 Informācijas kodētāji, korektori un tiem radniecīgu profesiju darbinieki""Atsevišķās grupas ""4413 Informācijas kodētāji, korektori un tiem radniecīgu profesiju darbinieki"" profesijās nodarbinātie kodē informāciju, pārbauda un labo kļūdas, kā arī veic citus kancelejas darbus.Atsevišķās grupas ""4413 Informācijas kodētāji, korektori un tiem radniecīgu profesiju darbinieki"" profesijas un atbilstoši pamatuzdevumi:– kodēt, klasificēt informāciju turpmākai apstrādei; salīdzināt iespiešanai paredzēto tekstu ar oriģinālo tekstu, labot kļūdas; šķirot un apzīmēt ar atšķirības zīmēm veidlapas; uzrakstīt adreses uz reklāmas un cirkulārām vēstulēm.","441"
"4413 01","Informācijas KODĒTĀJS","","4413"
"4413 02","Informācijas KOREKTORS","","4413"
"4413 03","Dokumentu ZĪMOGOTĀJS","","4413"
"4413 04","Dokumentu ŠĶIROTĀJS","","4413"
"4414","Rakstveži un tiem radniecīgu profesiju darbinieki"," PROFESIJU ATSEVIŠĶĀ GRUPA""4414 Rakstveži un tiem radniecīgu profesiju darbinieki""Atsevišķās grupas ""4414 Rakstveži un tiem radniecīgu profesiju darbinieki"" profesijā nodarbinātie raksta vēstules un aizpilda veidlapas par personām, kas nespēj rakstīt un lasīt, un sniedz nepieciešamo informāciju.Atsevišķās grupas ""4414 Rakstveži un tiem radniecīgu profesiju darbinieki"" profesija un atbilstoši pamatuzdevumi:– lasīt un paskaidrot dokumentus lasītnepratējiem; rakstīt vēstules un aizpildīt veidlapas par personām, kas nespēj rakstīt un lasīt, un sniegt nepieciešamo informāciju. ","441"
"4414 01","RAKSTVEDIS","","4414"
